Code,Shop Name
NB131,24 HRS SUNDRY SHOP (7 ELEVEN)
NB28,ACCESSORIES SHOP
NB89,BAKERY
NB27,BANK
NB46,BARBER SHOP
NB96,BEAUTY CENTRE
NB24,BICYCLE SHOP / REPAIR
NB44,BOOK STORE / STATIONERY SHOP
NB76,BOUTIQUE
NB36,BRIDAL SHOP
NB85,BUS STATION
NB139,CAFE
NB40,CANDY SHOP
NB14,CANTEEN
NB21,CAR ACCESSORIES SHOP
NB23,CAR PARK
NB20,CAR SERVICE CENTRE
NB22,CAR WASH
NB39,CARPET SHOP
NB100,CASKET & FUNERAL SERVICES
NB107,CHALET
NB101,CHARITY HOME
NB80,CHINESE MEDICAL HALL
NB05,CHINESE RESTAURANT
NB18,CHURCH
NB78,CINEMA
NB145,CLEANING SERVICES
NB87,COMMERCIAL COMPLEX
NB132,COURIER SERVICE SHOP
NB79,CUSTOMER SERVICE CENTRE
NB83,DANCING SCHOOL
NB94,DAY CARE CENTRE
NB129,"DEPARTMENTAL STORE (JAYA JUSCO, SOGO, ETC)"
NB68,DRIVING SCHOOL
NB30,ELECTRICAL SHOP
NB124,ENGINEERING FACTORY
NB126,ENTERTAINMENT OUTLET (I.E. KAROAKE)
NB123,FACTORY
NB12,FAST FOOD RESTAURANT
NB81,FISHING EQUIPMENT
NB120,FITNESS CENTRE / GYMNASIUM
NB72,FLORIST
NB13,FOOD COURT
NB47,FRAME SHOP
NB55,FROZEN FOOD SHOP
NB82,FRUIT SHOP
NB98,FURNITURE SHOP / HOME FURNISHING
NB71,GALLERY
NB130,"GAMING OUTLET (SPORTS TOTO, MAGNUM, ETC)"
NB140,GAS SHOP
NB74,GOLDSMITH
NB99,GOLF CLUB
NB136,GOVT BODIES
NB115,GOVT CLINIC
NB117,GOVT HOSPITAL
NB110,GOVT SCHOOL
NB42,HANDICRAFT SHOP
NB45,HANDPHONE / TELECOMMUNICATION SHOP
NB01,HARDWARE SHOP
NB92,HEALTHCARE CENTRE
NB125,HOME DÉCOR
NB106,HOSTEL
NB105,HOTEL
NB128,HYPERMARKET
NB143,ICE SUPPLIER
NB06,INDIAN RESTAURANT
NB90,INSURANCE COMPANY
NB118,INTERNET CAFÉ
NB50,IT RELATED SHOP
NB09,JAPANESE RESTAURANT
NB60,JOB PLACEMENT AGENCY
NB112,KINDERGARTEN
NB10,KOREAN RESTAURANT
NB03,LAUNDRY / DRY CLEANING
NB61,LIBRARY
NB29,LIGHTING SHOP
NB31,LIQUORS SHOP
NB77,LOCKSMITH
NB137,LOGISTICS (SHIPPING/FLIGHT)
NB59,MAID AGENCY
NB04,MALAY RESTAURANT
NB65,MARKET
NB17,MASJID
NB08,MIDDLE EAST RESTAURANT
NB25,MOTORBIKE SHOP / REPAIR
NB135,MUSEUM
NB52,MUSIC CD SHOP
NB84,MUSIC SCHOOL
NB91,NATIONAL SECURITY
NB133,NEW CAR DEALER
NB26,OFFICE
NB102,OLD FOLK HOME
NB67,OPTICIAN
NB41,PAWN SHOP
NB48,PET SHOP
NB103,PETROL STATION
NB66,PHARMACY
NB51,PHOTO SHOP
NB63,PLANT NURSERY
NB70,POST OFFICE
NB33,POULTRY SHOP
NB34,PRAYER SHOP
NB37,PRINTING SHOP
NB114,PRIVATE CLINIC
NB73,PRIVATE CLUB
NB122,PRIVATE COLLEGE
NB116,PRIVATE HOSPITAL
NB109,PRIVATE SCHOOL
NB35,PROVISION SHOP
NB62,PUBLIC HALL
