Code,Name
C1,Single Storey Shop house
C2,Double Storey Shop house
C3,3 Storey Shop house
C4,4 Storey Shop house
C5,5 Storey Shop house
C6,6 Storey Shop house
C7,Multi Storey Shop House
C8,Commercial Building
C9,Shopping Complex
C10,Commercial Podium
C11,Highrise Building
C12,TNB Substation
C13,Hospital
C14,Bank
C15,Embassy
C16,Showroom
C17,Hall
C18,Stadium
C19,Store
C20,Petrol Station
C21,Workshop / Service station
C22,Food Court
C23,Fast Food Outlet
C24,Bazaar
C25,Market
C26,Supermarket
C27,Hypermarket
C28,Private School
C29,Private University
C30,College
C31,Airport
C32,Sea Port
C33,Warehouse
C34,Railway Station
C35,Bus Station / Terminal
C36,Lorry Station / Terminal
C37,LRT Station
C38,Toll Booth
C39,Driving School Center
C40,Car Wash
C41,Parking Lot
C42,Public Swimming Pool
C43,Public Library
C44,Public Toilet
C45,Hotel
C46,Chalet
C47,Resort
C48,Cinema
C49,Zoo
C50,Museum
C51,Equestrian
C52,Sports Complex
C53,Theme Park
C54,Rest House
C55,Club House
C56,Golf Driving Range
C57,Golf Course
C58,Shooting Range
C59,Nature Park
C60,Light Industrial
C61,Treatment Plant  IWK
C62,Cemetery/Crematoriums
C63,Nursery (Plant)
C64,Abattoir
C65,Water Pump House
C66,Domestic Used as Commercial
C67,IWK's office
C68,Management Office
C69,Team Building Kem (Commercial)
C70,Water Treatment Plant
C71,Parcel Account
C72,Farm
C73,Carpark Multi Storey
C74,Driving School
C75,Stall
C76,SOHO (Small Office Home Office)
C77,Quarry
C78,Mining area
C79,Petrol Station with food outlet
C80,Restaurant
C81,Telecommunication Substation
C82,Ferry Station / Terminal
C83,SOFO (Small Office Flexible Office)
C84,SOVO (Small Office Versatile Office)
C85,Taxi Station / Terminal
